ID,Image,Mask
001_hn_sub_001_SVmask43,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask43.nii.gz
001_hn_sub_001_SVmask44,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask44.nii.gz
001_hn_sub_001_SVmask45,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask45.nii.gz
001_hn_sub_001_SVmask46,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask46.nii.gz
001_hn_sub_001_SVmask47,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask47.nii.gz
001_hn_sub_001_SVmask48,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask48.nii.gz
001_hn_sub_001_SVmask49,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask49.nii.gz
001_hn_sub_001_SVmask5,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask5.nii.gz
001_hn_sub_001_SVmask50,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask50.nii.gz
001_hn_sub_001_SVmask51,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask51.nii.gz
001_hn_sub_001_SVmask52,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask52.nii.gz
001_hn_sub_001_SVmask53,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask53.nii.gz
001_hn_sub_001_SVmask54,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask54.nii.gz
001_hn_sub_001_SVmask55,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask55.nii.gz
001_hn_sub_001_SVmask56,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask56.nii.gz
001_hn_sub_001_SVmask57,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask57.nii.gz
001_hn_sub_001_SVmask58,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask58.nii.gz
001_hn_sub_001_SVmask59,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask59.nii.gz
001_hn_sub_001_SVmask6,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask6.nii.gz
001_hn_sub_001_SVmask60,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask60.nii.gz
001_hn_sub_001_SVmask61,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask61.nii.gz
001_hn_sub_001_SVmask62,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask62.nii.gz
001_hn_sub_001_SVmask63,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask63.nii.gz
001_hn_sub_001_SVmask64,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask64.nii.gz
001_hn_sub_001_SVmask65,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask65.nii.gz
001_hn_sub_001_SVmask66,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask66.nii.gz
001_hn_sub_001_SVmask67,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask67.nii.gz
001_hn_sub_001_SVmask68,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask68.nii.gz
001_hn_sub_001_SVmask69,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask69.nii.gz
001_hn_sub_001_SVmask7,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask7.nii.gz
001_hn_sub_001_SVmask70,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask70.nii.gz
001_hn_sub_001_SVmask71,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask71.nii.gz
001_hn_sub_001_SVmask72,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask72.nii.gz
001_hn_sub_001_SVmask73,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask73.nii.gz
001_hn_sub_001_SVmask74,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask74.nii.gz
001_hn_sub_001_SVmask75,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask75.nii.gz
001_hn_sub_001_SVmask76,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask76.nii.gz
001_hn_sub_001_SVmask77,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask77.nii.gz
001_hn_sub_001_SVmask78,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask78.nii.gz
001_hn_sub_001_SVmask79,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask79.nii.gz
001_hn_sub_001_SVmask8,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask8.nii.gz
001_hn_sub_001_SVmask80,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask80.nii.gz
001_hn_sub_001_SVmask81,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask81.nii.gz
001_hn_sub_001_SVmask82,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask82.nii.gz
001_hn_sub_001_SVmask83,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask83.nii.gz
001_hn_sub_001_SVmask84,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask84.nii.gz
001_hn_sub_001_SVmask85,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask85.nii.gz
001_hn_sub_001_SVmask86,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask86.nii.gz
001_hn_sub_001_SVmask87,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask87.nii.gz
001_hn_sub_001_SVmask88,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask88.nii.gz
001_hn_sub_001_SVmask89,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask89.nii.gz
001_hn_sub_001_SVmask9,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask9.nii.gz
001_hn_sub_001_SVmask90,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask90.nii.gz
001_hn_sub_001_SVmask91,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask91.nii.gz
001_hn_sub_001_SVmask92,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask92.nii.gz
001_hn_sub_001_SVmask93,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask93.nii.gz
001_hn_sub_001_SVmask94,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask94.nii.gz
001_hn_sub_001_SVmask95,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask95.nii.gz
001_hn_sub_001_SVmask96,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask96.nii.gz
001_hn_sub_001_SVmask97,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask97.nii.gz
001_hn_sub_001_SVmask98,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\tmp_dir\VolumeDir\sub_001.nii,D:\\03_AIDataSet\\00_Radiomics\Dataset\Dataset\output\SV\SVSplit\SVmask\001\hn_sub_001_SVmask98.nii.gz
